Scan;model;mouse;side;treatment
195320;LM02;211;L;DTX
195605;LM02;201;L;ED2
195915;LM02;202;R;ED2
200156;LM02;218;R;DTX
200521;LM02;202;L;ED2
200832;LM02;225;L;ED1
201107;LM02;206;L;ED1
201405;LM02;216;R;ED1
201729;LM02;204;R;ED2
202118;LM02;209;R;DTX
202413;LM02;209;L;DTX
202756;LM04;568;R;ED1
203119;LM04;562;R;ED1
203334;LM04;570;NA;ED2
203622;LM02;208;NA;CTR
203921;LM04;575;NA;DTX
204415;LM04;79;NA;CTR
